Country Name,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Caribbean (not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200647,,,1697313,,,,,,,,,,165099,5502202,11354105,10436614,12090658,15597674,21952598,18979868,17944444,19810738,20405500,26333641,26203935,22623000
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47306,96540,167179,187693,210426,329319,244413,297371,398713,596688,378820,311304,,258265,149847,211336,198118,105586,131653,144866,157245,15651,,,114380,284140,121101,55574,61184,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45491940,674417,9714043,16920414,36407216,9798590,415013,6483427,1818913,520878,535732,319040,86088,,36114,132079,113407,127818,216051,265351,310605,672809,2878253,541105,397368,192091,177012,892261,790000
Chile,,,,,,,47769530,57420197,4827213,35689527,25443008,40537759,61483987,31935492,47836830,104206249,94895533,148153194,54810834,59638808,57798358,23480122,41263367,58690322,4042113,25707859,52886703,61969339,62112175,2178063,,,,,,,,,,,,,,,,5030098,5577237,385148,137542,705930,760851,678147,29097009,1216194,1135027,3091062,1648614,2939914,1919796,1734230,1517733,1390789,729737,6067811,2325998,1425000
China (P.R.C.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25798,,,,78086,,103353,154371,193748,199000
China (Taiwan),,1232184521,,,,600127071,1386022212,1633674631,1978672594,2646075439,1359516572,704192706,321473596,1884231066,1801241828,1157141593,781033956,681286182,427921568,378174633,558898053,599598307,858421302,610572382,1247404501,568428313,607789396,612426225,357641495,288698011,306835578,107523427,68493164,21015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,24961362,44115517,11780616,32288234,22094363,16167344,43977999,10797532,31480429,106473432,51060994,39114746,52796498,59091035,75264096,51366149,25488966,20003518,35017410,30158164,37269616,43371510,2113210,2317682,67098708,2111986,147960905,34031938,622793,540582,21279564,1176210,47970994,1415060,1796715,2394566,7147387,98769741,143336685,82878954,86317697,44334004,12194414,15291258,5360424,92914069,90623349,143426808,168156395,242507881,147813887,236583228,331823523,292133034,254344568,231799313,181492652,190541219,189510220,159997000
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48560,40289,44130,81695,204873,136646,88786,198366,,,87184,101655,133400,18249,,,,,142077,615225,575199,65160,138848,189362,113190,207000
Congo (Brazzaville),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61704,108361,7599,,,3503,,,58310,344652,221965,205605,154557,208278,220683,196622,,,,107401,171987,130021,19961,184226,322243,408050,161816,126584,134604,123000
Congo (Kinshasa),,,,,,,,,,,,,,,,,5948,12858114,49261252,35593846,20481888,18338094,10755036,13437363,9047311,61454884,10043253,26873636,14885019,13232428,95600353,91279011,54211454,25039941,16518488,14826451,15851692,2976974,1320337,15223391,2120447,1975911,6655166,1423134,5430697,12146,,,,,,,,,,,,,376914,375276,446521,6476464,6660549,39381082,16264652,22020000
Costa Rica,,,,,,,,,,,,,,,36605,372852,3693521,1909039,2513566,1232490,1234387,113666,,,,451808,,,,,,15150546,,,,68122,94612,242335,254569,20662814,383083,362601,373409,338219,343555,478262,304832,325783,143213,155903,267186,445410,595676,986322,1449460,2180487,1610532,1820290,1033284,843802,685179,959239,2739386,3040080,2339255,3457000
